wilderness,wildernessFull,photoCategory,photographerCategory,age,photo,title,titleFull,photographer,photographerLocation,text,photoInfo,winnerType,thumbnailPosition,lat,long,photoURL
glacierBay,"Glacier Bay Wilderness, Alaska",Wildlife,Pro,null,6_DavidBahr_ProWinner_BaldEagle_AK.jpg,Bald Eagle,"Bald Eagle, <em>Haliaeetus leucocephalus</em>",David Bahr,"Nederland, Colorado","<p>While sea kayaking with a wilderness park ranger, I was amazed to see a Bald Eagle crash and somersault into the ocean no more than 30 feet in front of us. The eagle floated unmoving on the water, and we were almost certain it was injured. After several minutes, the eagle stirred and started swimming toward land, using its wings as oars. Progress was slow, but when the bird finally arrived at the rocky shore, it was able to hop out of the water carrying its lunch. Although stunned and soaking wet, the eagle had somehow managed to hang onto its meal.</p>",Canon 5D Mark III; EF 100-400mm f/4.5-5.6L IS USM lens; 1/640 sec at f/5.6; ISO 640; hand-held.,Winner,center,58.834,-136.855,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/6_DavidBahr_ProWinner_BaldEagle_AK.jpg
glacierBay,"Glacier Bay Wilderness, Alaska",Most Inspirational Moment,Pro,null,99_RichardHebhardt_StellerSeaLions_AK.jpg,Steller Sea Lions,"Steller Sea Lions, <em>Eunetopias jubatus</em>",Richard Hebhardt,"Juneau, Alaska","<p>While in Glacier Bay a couple of summers ago, I was treated to a rich diversity of wildlife and scenic beauty. On this particular morning, while cruising through Inian Pass, we observed hundreds of Steller Sea Lions gathered on a rocky outcropping. Wanting to get as close as possible without disturbing them, we turned off our engine and drifted quietly toward them. Sensing our presence, however, the colony &ldquo;stampeded&rdquo; into the water. Fortunately, I managed to get this shot as they rushed to safety. The looks in their eyes conveys the apparent alarm they were experiencing.</p>",Nikon D300; 70-200mm f/2.8 lens; 1.4 teleconverter; focal length 220mm; f/11.0 at 1/1250; exposure compensation +0.67; ISO 2000; hand-held. ,Honorable Mention,center,58.834,-136.855,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/99_RichardHebhardt_StellerSeaLions_AK.jpg
glacierPeak,"Glacier Peak Wilderness, Washington",People in Wilderness,Pro,null,33_EthanWelty_GlacierPeak_WA.jpg,Hikers Discuss Ascent Routes,Hikers Discuss Ascent Routes,Ethan Welty,"Boulder, Colorado","<p>As a photographer, I behave similarly to a satellite or a dog when hiking with others&mdash;running circles around the group as my anticipation builds. People interacting with the landscape provide an endless supply of new photographic opportunities. And unlike wildlife, people don't usually shy away.</p>",Canon EOS 40D; EF 70-200mm f/4L USM lens at 100mm; 1/1250 sec at f/4; ISO 200; hand-held.,Honorable Mention,left,48.2014,-121.02,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/33_EthanWelty_GlacierPeak_WA.jpg
greatSandDunes,"Great Sand Dunes Wilderness, Colorado",Scenic Landscape,Student,21,24_MichaelOkeeffe_GreatSand_CO.jpg,Ripple Effect,Ripple Effect,Michael O'Keeffe,"Olathe, Kansas","<p>I had been dreaming of backpacking into the Great Sand Dunes for years, with the intent of finding a single composition that would capture the exotic and wild beauty that this unique landscape offers. I was finally able to get that perfect shot on a beautiful, warm August afternoon after trudging with a heavy pack through difficult terrain. Within an hour of capturing this shot, a thunderstorm rolled in off the mountains, bringing with it heavy rain, dangerous lightning, and strong winds that threatened to blow our tents away. It was all an exhilarating experience I will never forget.</p>",Nikon D40; Tokina SD 12-24mm f/4 IF DX lens; 1/400 sec at f/10; ISO 200; hand-held.,Honorable Mention,top,37.7676,-105.567,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/24_MichaelOkeeffe_GreatSand_CO.jpg
greatSandDunes,"Great Sand Dunes Wilderness, Colorado",People in Wilderness,Pro,null,55_RichardHebhardt_SolitaryHiker_GreatSandDunes_CO.jpg,Solitary Hiker,Solitary Hiker,Richard Hebhardt,"Juneau, Alaska","<p>Although my primary purpose was to photograph the interplay of light, shadow and form that the Dunes offers in the early morning and later in the day, I couldn&rsquo;t resist capturing this solitary hiker struggling to ascend a large dune. The stark contrast between the hiker&rsquo;s diminutiveness and the size of the dune was a scene I had to shoot. Quickly, I setup my tripod, made my necessary camera adjustments, and captured the moment.</p>",Nikon D300; 70-200mm f/2.8 lens at 130mm; 1/160 sec at f/13; ISO 200; Gitzo GT3531 tripod; Really Right Stuff BH-55 Pro ball head.,Honorable Mention,center,37.7676,-105.567,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/55_RichardHebhardt_SolitaryHiker_GreatSandDunes_CO.jpg
hatfield,"Mark O Hatfield Wilderness, Oregon",Scenic Landscape,Student,18,88_ThomasGoebel_MetlakoFalls_OR.jpg,Metlako Falls,Metlako Falls,Thomas Goebel,"Jensen Beach, Florida","<p>Hiking the Columbia River Gorge is a very humbling experience. There are hundreds of waterfalls that make up the gorge. After taking a beautiful hike along a sheer cliff, I made it to Metlako Falls. This 80-foot waterfall is one of the gems of this gorge. Experienced kayakers travel to this waterfall to feel their adrenalin pump as they plummet down the falls. As I pressed the shutter, I thought just how powerful and beautiful nature can be.</p>",Canon EOS 60D; Tamron 18-270mm lens at 55mm; polarizer filter; 1.3 sec at f/9; ISO 100; Manfrotto 290 tripod; 496RC2 head. ,Honorable Mention,center,45.6149,-121.835,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/88_ThomasGoebel_MetlakoFalls_OR.jpg
hawaiiVolcanoes,"Hawaii Volcanoes Wilderness, Hawaii",Scenic Landscape,Amateur,null,86_SamuelFeron_HawaiiVolcanoes_HI.jpg,Lava Factory,Lava Factory,Samuel Feron,"Noisy-le Sec, France","<p>This picture was taken from a boat in front lava that seemed alive as it continuously changed form. Photographing lava is best in the early morning or at day&rsquo;s end because the low light allows the molten rock to be visible. The later it gets, the more contrast there is, making it difficult to capture the surrounding details. After forty minutes and many trials, I finally got this photo.</p>","Canon EOS 5D Mark II; EF 70-200mm f/4L IS USM; 191mm, 1/640 sec at f/5; ISO 125; hand- held. ",Honorable Mention,center,19.2611,-155.32,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/86_SamuelFeron_HawaiiVolcanoes_HI.jpg
jedediahSmith,"Jedediah Smith Wilderness, Wyoming",Scenic Landscape,Pro,null,14_JohnRichter_TetonMeadow_WY.jpg,Meadow of Flowers,Meadow of Flowers,John Richter,"Jackson, Wyoming","<p>On a trip with my wife and two children, we headed up the Teton Crest trail, where I was hoping to photograph the record wildflower blooms. Walking through this field was something out of a fairy tale. In places, the flowers grew as tall as my 6-year-old daughter. The record-setting snowpack of the previous winter had set the stage for a bountiful bloom, and I was lucky to have arrived at the perfect time. As the sun approached the western horizon, I composed this image and waited for the wind to still long enough for this two-second exposure. When the moment arrived, I exhaled and tripped the shutter.</p>",Toyo 45A; Schneider 75mm f /4.5 Super Angulon lens; Singh Ray 3S/HS GND filter; 2 secs at f / 32; Fujichrome Velvia 100 film; Gitzo Mountaineer tripod; Gitzo magnesium ball head,Honorable Mention,top,43.8263,-110.916,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/14_JohnRichter_TetonMeadow_WY.jpg
jnDingDarling,JN Ding Darling Wilderness,Wildlife,Pro,null,75_NateZeman_LittleBlueHeron_FL.jpg,Little Blue Heron,"Little Blue Heron, <em>Egretta caerulea</em>",Nate Zeman,"Breckenridge, Colorado","<p>Little Blue Herons are one of my favorite birds to photograph. This particular one really caught my eye, with its vibrant colors while preening its feathers. The small pond behind the bird offered a simple, yet nicely abstract, background for the image.</p>",Canon EOS 5D Mark II; 300mm f/2.8L IS lens + 1.4x extender at 420mm; 1/400 sec at f/4.5; ISO 400; hand-held. ,Honorable Mention,center,26.4582,-82.1069,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/75_NateZeman_LittleBlueHeron_FL.jpg
johnMuir,"John Muir Wilderness, California",Scenic Landscape,Amateur,null,17_NolanNitschke_MtWhitneyJohnMuir_CA.jpg,Mt. Whitney Moonrise,Mt. Whitney Moonrise,Nolan Nitschke,"Bishop, California","<p>After an agonizing ascent of Mt. Whitney, the tallest peak in the continental United States, I watched the full moon rise behind the Inyo Mountains. At 14,505 feet in elevation, the setting sun and the full moon created a unique combination of warm and cool tones. This photo was taken just below the summit. You can see the lightning cabin on the summit, the Whitney Portal, the Alabama Hills, Lone Pine, the Inyo Mountains, and Death Valley National Park.</p>",Canon EOS-5D Mark II; EF 24-70 f/2.8L USM lens; Singh Ray Galen Rowell 2 stop soft GND; 20 sec at f/11; ISO 50; Gitzo GT0531 tripod; Really Right Stuff BH-25 Pro head.,Honorable Mention,right,37.2476,-118.873,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/17_NolanNitschke_MtWhitneyJohnMuir_CA.jpg
johnMuir,"John Muir Wilderness, California",Most Inspirational Moment,Pro,null,96_HarryLichtman_DusyBasin_CA.jpg,Dusy Basin Alpenglow,Dusy Basin Alpenglow,Harry Lichtman,"Newmarket, New Hampshire","<p>I had spent two days backpacking in the John Muir Wilderness, looking for compositions to highlight the barren granite peaks that compose Dusy Basin. Each day brought intense rain, lightning, and hail. I captured this image on the second night, when the peaks were dramatically lit by the setting sun as an evening storm cleared. The challenge was finding foreground elements that could complement the distant peaks and create interest throughout the image. Surrounded by rock and sky with no one in sight &ndash; this was wilderness.</p>",Canon EOS 5D Mark II; 17-40mm L lens at 17mm; 1 sec at f/16; ISO 100; Manfrotto 190CXPro3 tripod; 496RC2 head; Really Right Stuff Compact Quick Release Plate. ,Honorable Mention,center,37.2476,-118.873,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/96_HarryLichtman_DusyBasin_CA.jpg
joshuaTree,"Joshua Tree Wilderness, California",Scenic Landscape,Amateur,null,25_CliffLaplant_CactusJoshuaTree_CA.jpg,Cholla Cactus Sunrise,"Sholla Cactus Sunrise, <em>Cylindropuntia</em>",Cliff LaPlant,"Alpine, California","<p>During the late fall and winter seasons, I find myself drawn to the deserts of the Southwest. The beautiful varieties of cactus and the jagged mountain ranges give the unsuspecting traveler a magical experience of beauty. The cholla cacti of Joshua Tree National Park are strikingly beautiful when observed during the day's first and last light. The spiny needles seem to glow with fire. I carefully chose this composition, approximately an inch from the plant, and photographed it in the horizontal position&mdash;knowing that I would later crop it down. In doing so, I was able to bring the sun a little closer to the viewer.</p>","Nikon D5000; 12-24mm Nikkor f/4 VR lens; B+W circular polarizer; 12mm; 1/4 sec, at f/22; ISO 100; Quantaray QSX-Digi Pro 8500 tripod.",Honorable Mention,top,34.015,-115.39,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/25_CliffLaplant_CactusJoshuaTree_CA.jpg
joshuaTree,"Joshua Tree Wilderness, California",People in Wilderness,Pro,null,51_SamRoberts_JoshuaTreeClimb_CA.jpg,"Karen Tracey climbing ""Cryptic""","Karen Tracey climbing ""Cryptic""",Sam Roberts,"Mammoth Lakes, California","<p>Joshua Tree National Park is one of the most popular climbing areas in the United States. For several years I worked as a climbing guide there, and on my days off my friends and I would go climbing just for the joy of moving over the beautiful granite. The day that I made this image was just such a day, complete with warm, sunny desert weather. As my friend prepared to climb, I scrambled up an adjacent rock, braced myself and my camera, and shot this photo that captures so much of the desert climbing experience: sun, stone and especially wilderness.</p>",Nikon F4; 35-70mm f/2.8 lens; Polarizing filter; Shutter speed & Aperture not recorded; Fujichrome Velvia 50 film; hand-held.,Honorable Mention,top,34.015,-115.39,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/51_SamRoberts_JoshuaTreeClimb_CA.jpg
joyceKilmerSlickrock,"Joyce Kilmer-Slickrock Wilderness, North Carolina",People in Wilderness,Pro,null,29_BillLea_ProWinner_JoyceKilmer_NC.jpg,Yellow Poplar Trees,Yellow Poplar Trees,Bill Lea,"Franklin, North Carolina","<p>Walking among the huge old-growth yellow poplar trees of the Joyce Kilmer Memorial Forest has become an annual springtime ritual for me. Breathing in the fresh air, finding beautiful patches of large-flowered trilliums, and standing among 400-year-old giants never ceases to provide a thrill. As a young family hiked by on their own special outing, the young girl discovered the twin poplars and just had to take a closer look. As she looked up, it seemed she stood in awe of the trees and the magic of this special place.</p>",Nikon D800E; AF-S VR Zoom 70-300mm f/4.5-5.6G IF-ED lens at 270mm; B+W polarizing filter; 1/4 second at f/11; ISO 50 Fujichrome Velvia film; Gitzo CF tripod; Really Right Stuff BH-55 Quick Release.,Winner,center,35.4166,-84.0002,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/29_BillLea_ProWinner_JoyceKilmer_NC.jpg
katmai,"Katmai Wilderness, Alaska",Wildlife,Amateur,null,10_RobertAmoruso_BrownBear_AK.jpg,Brown Bear,"Brown Bear Up Close, <em>Ursus arctos</em>",Robert Amoruso,"Orlando, Florida","<p>I captured this image on a wild river in the interior of the Katmai Wilderness. The bear&rsquo;s fishing method is to jump on top of a salmon as it swims by, pinning it to the riverbed. As the bear rose from the water, I noticed the deep red color of the salmon&mdash;the bear had already started to eat it. I created several images as the bear rose and then retreated to the far shore. This shot, with the bear gazing directly at me, was the best.</p>",Canon EOS-1D Mark IV; EF 500mm f/4L IS II lens + 1.4x teleconverter; 1/2000 sec at f/7.1; ISO 1600; LensCoat Pro Rain Cover; Feisol CT-3342 tripod; Jobu Design Jr. 3 Gimbal head.,Honorable Mention,center,58.4188,-154.855,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/10_RobertAmoruso_BrownBear_AK.jpg
katmai,"Katmai Wilderness, Alaska",Wildlife,Student,22,66_EricCoomes_BrownBear_AK.jpg,Brown Bear,"Brown Bear, <em>Ursus arctos</em>",Eric Coomes,"Mississauga, Ontario, Canada","<p>As salmon return to Katmai to swim upstream to their spawning grounds, bears congregate along the coastal rivers and streams. A group of brown bears was trying to catch salmon, and this bear stood up on its hind legs to scan the water for its prey. Standing tall, the bear had a magnificent presence&mdash;it was clearly the apex of the Katmai food chain. After setting its sights, the bear dove into the water to begin the chase. The struggle between creatures so disparate in size was inspiring to witness.</p>",Canon EOS 5D Mark III; 500 mm f/4L IS USM lens; 1/640 sec at f/5.6; ISO 1250; Gitzo GT3531LSV tripod; WH-200 Wimberley head Version II. ,Honorable Mention,top,58.4188,-154.855,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/66_EricCoomes_BrownBear_AK.jpg
katmai,"Katmai Wilderness, Alaska",Wildlife,Pro,null,71_JudylynnMalloch_Grizzly_AK.jpg,Grizzly Brown Bear,"Grizzly Brown Bear, <em>Ursus arctos</em>",Judy Lynn Malloch,"Boynton Beach, Florida","<p>The mother grizzly and her two cubs were clamming on the shore of Hollow Bay in Alaska. We were able to observe the playful interaction between the cubs and Mom for some time without any sense or concern on their part. We eventually moved on to observe many other bears on the grassy plain leading from Hollow Bay. At one point we counted more than 20 bears, some up close and some off in the distance. This trip was not only a thrill but also a privilege to experience firsthand these magnificent animals in their natural habitat.</p>",Nikon D3; AF-S 600mm f/4G ED VR lens; 1/400 sec at f/8; ISO 640; Gitzo tripod; Wimberley Head.,Honorable Mention,center,58.4188,-154.855,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/71_JudylynnMalloch_Grizzly_AK.jpg
lakeClark,"Lake Clark Wilderness, Alaska",People in Wilderness,Amateur,null,54_VirginiaShort_FishingAlaskanMist_LakeClark_AK.jpg,Fishing in the Alaskan Mist,Fishing in the Alaskan Mist,Virginia Short,"Scottsdale, Arizona","<p>While trying my limited fishing skills in Alaska's Clark Wilderness, I took in this magical vista in front of me!. I put down the fishing pole and picked up my camera! I never did catch a fish but I will have this beautiful memory forever.</p>",Nikon 2DX; 80-400-mm f/4.5-5.6 lens at 80mm; 1/200 sec at f/6.3; ISO 100; hand-held.,Honorable Mention,right,60.6363,-153.34,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/54_VirginiaShort_FishingAlaskanMist_LakeClark_AK.jpg
lakeClark,"Lake Clark Wilderness, Alaska",People in Wilderness,Pro,null,90_CarlJohnson_KayakLanding_LakeClark_AK.jpg,Landing After Storm,Landing After Storm,Carl Johnson,"Anchorage, Alaska","<p>In coastal Alaska, thunderstorms are rare; I have seen few in the 15 years I have lived in Anchorage. But during a kayaking trip in the Lake Clark Wilderness, I encountered two. After setting up camp one evening, a quick thunderstorm rolled through. After the rain cleared, dark clouds remained in the sky, even as the sun started to shine again. I found two kayaks and centered on them, showing the dark clouds and sunrays in the background. Weather in the wilderness of Alaska can be unpredictable, but it makes travel in the Alaskan backcountry exciting and rewarding.</p>",Nikon D800E; AF-S 24-70mm f/2.8G ED lens at 24mm; Lee 0.6 ND Hard Grad filter; 1/30 sec at f/16; ISO 100; Gitzo Mountaineer tripod; Arca-Swiss ball head. ,Honorable Mention,center,60.6363,-153.34,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/90_CarlJohnson_KayakLanding_LakeClark_AK.jpg
lakeWoodruff,"Lake Woodruff Wilderness, Florida",Wildlife,Pro,null,74_NancyElwood_GreenHeron_FL.jpg,Green Heron,"Green Heron, <em>Butorides virescens</em>",Nancy Elwood,"Winter Springs, Florida","<p>This past summer, with a friend and his pontoon boat, I was able to explore the Lake Woodruff Wilderness area. There is a wide variety of bird species that make this lake their home, so we slowly moved along the shoreless edges, looking for birds that would come out on fallen branches to fish. We saw this green heron on the edge of one branch, so we slowly moved toward it&mdash;closer and closer. The heron appeared to be curious about our presence and never moved a bit as it filled the frame. What an experience!</p>",Nikon D7100; 300mm f/4 AF-S lens; 1/1600 at f/8; ISO 1600; hand-held. ,Honorable Mention,center,29.0979,-81.477,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/74_NancyElwood_GreenHeron_FL.jpg
lavaBeds,"Lava Beds Wilderness, California",People in Wilderness,Pro,null,58_DaveBunnell_FossilCave_CA.jpg,Fossil Cave,Fossil Cave,David E. Bunnell,"Angels Camp, California","<p>Lava Beds National Monument has many easily accessible lava tubes, but Fossil Cave lies in a remote area of the Lava Beds Wilderness, about a 4-mile hike one way. The cave requires a 50-foot rope descent to enter, and has a thousand feet of large passage. Its biggest attraction is the forest of ferns below the entrance. These moisture-loving plants thrive in the humid cave environment and contrast with the small scrub plants topside in this arid region. A brilliant sunbeam pierced the small opening and produced the hotspot on the wall.</p>",Nikon D300; Tokina SD 12-24 f/4 IF DX lens at 12mm; 1/4 sec at f/5.6; ISO 800; Vivitar 283 flashes (20); Flashwave-3 radio triggers; tripod.,Honorable Mention,center,41.7679,-121.486,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/58_DaveBunnell_FossilCave_CA.jpg
marjStoneDoug,"Marjory Stoneman Douglas Wilderness, Florida",Wildlife,Student,16,5_JennaVanKley_StudentWinner_Alligator_FL.jpg,American Alligator,"American Alligator, <em>Alligator mississippiensis</em>",Jenna Van Kley,"Powell, Ohio","<p>The alligator&mdash;with its scaly, leather-like skin, piercing eyes, and intimidating teeth protruding from an enormous jaw&mdash;has always intrigued me. So when my dad took me to Everglades National Park, I knew this might be my chance to photograph my prized subject up close and personal. </p>
<p>We came across a boggy area where several birds were wading in the shallow water. There, sunning itself, was an American alligator. I framed the alligator from the side, to capture the intensity of its eyes, mouth, and teeth, and to highlight its scaly skin and the bony ridges on its back.  </p>",Nikon D7000; AF-S 28-300mm f/3.5-5.6 ED VR lens; 1/250 sec at f/5.6; ISO 560; hand-held.,Winner,right,25.1239,-80.6718,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/5_JennaVanKley_StudentWinner_Alligator_FL.jpg
marjStoneDoug,"Marjory Stoneman Douglas Wilderness, Florida",Scenic Landscape,Pro,null,12_BillLea_BaldCypress_FL.jpg,Bald Cypress Dome,"Bald Cypress Dome, <em>Cardinal bromeliads</em>",Bill Lea,"Franklin, North Carolina","<p>In the Florida Everglades, cypress domes often dot the landscape of vast open sawgrass prairies. Stepping into this cypress dome felt like entering another world. Bromeliads adorned many of the tree trunks and provided a tropical flavor to the setting. The stark quiet combined with the stoic tree trunks created a cathedral-like atmosphere&mdash;it was definitely a spiritual journey. I only wish more people could experience the wonder and magic of such a swamp.</p>",Nikon D800E; 28-70mm f/2.8 lens at 32mm; B+W polarizing filter; 1 sec at f/18; ISO 100; Gitzo Carbon Fiber; Really Right Stuff; BH-55 Quick Release.,Honorable Mention,center,25.1239,-80.6718,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/12_BillLea_BaldCypress_FL.jpg
maroonBells,"Maroon Bells-Snowmass Wilderness, Colorado",Scenic Landscape,Pro,null,15_NateZeman_CapitolPeak_CO.jpg,Capitol Peak,Capitol Peak,Nate Zeman,"Breckenridge, Colorado","<p>Fresh snow on the mountains, a cold bite to the air, and the last of the golden leaves clinging to the aspens&mdash;all are sure signs that the short but beautiful autumn season in the Rockies is coming to an end. High above the normally lush green valley is one of Colorado&rsquo;s 54 &quot;fourteeners&quot; &mdash; peaks that surpass 14,000 feet of elevation. Part of the staggering Elk Mountains, Capitol Peak is surely one of the most impressive in the state.</p>",Canon 5D Mark II; 17-40mm L lens; Circ Polarizer and Singh Ray GND filters; 1.6 sec at f/18; ISO 400; Manfrotto tripod; Kirk Enterprises BH-1 ball head.,Honorable Mention,center,39.1774,-107.139,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/15_NateZeman_CapitolPeak_CO.jpg
maroonBells,"Maroon Bells-Snowmass Wilderness, Colorado",Scenic Landscape,Pro,null,35_BenjaminWalls_AspenAndEvergreen_CO.jpg,Lone Evergreen Among a Grove of Aspen,Lone Evergreen Among a Grove of Aspen,Benjamin Walls,"Bristol, Virginia","<p>What if I gave you a photographer&rsquo;s assignment to go out into nature, visit a place anyone is allowed to go, and photograph a common subject that&rsquo;s been photographed trillions of times? But here's the twist: you have to do so in such a fashion that others who are completely familiar with your subject would be willing to pay money for it, travel to see it, and take time out of their lives to talk about it. I strive to create images like that&mdash;images that are universally understood, yet still manage to amaze. It's those images that draw us in and captivate our thoughts.</p>",Canon EOS 5D Mark III; EF70-200mm f/2.8L IS USM at 150mm; 1.5 sec at f/32; ISO 400; Gitzo Mountaineer tripod; Really Right Stuff BH55 Ball Head.,Honorable Mention,center,39.1774,-107.139,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/35_BenjaminWalls_AspenAndEvergreen_CO.jpg
maroonBells,"Maroon Bells-Snowmass Wilderness, Colorado",Scenic Landscape,Pro,null,83_NateZeman_MaroonBells_CO.jpg,Capitol Peak,Capitol Peak,Nate Zeman,"Breckenridge, Colorado","<p>Late afternoon clouds retreat from the high peaks of the Elk Mountains, leaving a fresh dusting of snow on Capitol Peak. In the valley below, aspen trees begin their transformation from a deep shade of green to the vibrant gold they are so famous for.</p>",Canon 5D Mark II; 17-40mmL lens at 60mm; circular polarizer and Singh Ray GND filters; 1/6 sec at f/18; ISO 250; Manfrotto tripod; Kirk Enterprises BH-1 ball head. ,Honorable Mention,center,39.1774,-107.139,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/83_NateZeman_MaroonBells_CO.jpg
medicineLake,"Medicine Lake Wilderness, Montana",Wildlife,Amateur,null,72_MelissaGroo_ClayColoredSparrow_MT.jpg,Clay-colored Sparrow,"Clay-colored Sparrow, <em>Spizella pallida</em>",Melissa Groo,"Ithaca, New York","<p>On a visit to Montana's Medicine Lake Wilderness, I was eager to photograph grassland birds that make their home on the northern Great Plains. One day, as a light rain began to fall, I noticed a lone tree on the edge of the lake with a sweet little sparrow singing its heart out, despite the dreary day. I rested my camera on the car window and photographed it. The soft overcast light actually served me well, and the out-of-focus green hill in the distance helped to provide a monochromatic quality that I think, in its &ldquo;greenness,&rdquo; tells the story of spring so well.</p>",Canon EOS-1D Mark IV; EF 500mm f/4L IS USM lens ;1.4x teleconverter; 1/1250 sec at f/5.6; ISO 1000; stabilized on car window. ,Honorable Mention,center,48.4628,-104.405,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/72_MelissaGroo_ClayColoredSparrow_MT.jpg
medicineLake,"Medicine Lake Wilderness, Montana",Wildlife,Amateur,null,73_MelissaGroo_WesternGrebe_MT.jpg,Western Grebe,"Western Grebe, <em>Aechmophorus occidentalis</em>",Melissa Groo,"Ithaca, New York","<p>One morning in Montana's Medicine Lake Wilderness, I found dozens of Western Grebes on one part of the lake. I lay down on my belly to photograph them at their level. The grebes, after warily watching me for a moment, quickly accepted my presence and carried on fishing, preening, and resting. Suddenly one Western Grebe lifted up its wings in a beautiful wing flap&mdash;the only time I saw this behavior. I fired away, hoping my shutter speed was enough to freeze the movement. I was excited after reviewing my images to find I had captured this beauty in action.</p>",Canon EOS-1D Mark IV; EF 500mm f/4L IS USM lens; 1.4x teleconverter; 1/2500 sec at f/8; ISO 1000; Skimmer pod; Really Right Stuff ball head. ,Honorable Mention,center,48.4628,-104.405,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/73_MelissaGroo_WesternGrebe_MT.jpg
mtBaker,"Mount Baker Wilderness, Washington",People in Wilderness,Pro,null,52_EthanWelty_YoavInFlight_MountBaker_CO.jpg,Lake Ann Reflection,Lake Ann Reflection,Ethan Welty,"Boulder, Colorado","<p>On a joyful start to a relaxed two-day ascent of Mount Shuksan (at 9,131 feet elevation), our climbing party frolicked in the heather meadows and alpine tarns near Lake Ann at the base of the mountain. Despite appearances, my leaping friend Yoav, emboldened by the presence of a camera, made the jump to dry land.</p>",Canon EOS Digital Rebel XT; Sigma 17-50mm f/2.8 lens at 19mm; 1/500 sec at f3.5; ISO 100; hand-held.,Honorable Mention,center,48.7885,-121.761,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/52_EthanWelty_YoavInFlight_MountBaker_CO.jpg
mtEvans,"Mount Evans Wilderness, Colorado",Wildlife,Amateur,null,7_VerdonTomajko_AmWinner_MountainGoats_CO.jpg,Mountain Goat,"Mountain Goat Kids, <em>Oreamnos americanus</em>",Verdon Tomajko,"Superior, Colorado","<p>I drove to the top of Mount Evans, a 14,000-foot peak, with my wife one afternoon in July. After several hours of shooting a herd of mountain goats, a storm rolled in across the valley, and soon the lightning started. The baby goats got very anxious, running and jumping over the rocks&mdash;and over each other&mdash;with nervous energy from the incoming storm. </p>
<p>I kept shooting until my hair was standing on end and the sky was nearly dark. I love to capture behaviors and personalities of wildlife, and this was one of the best shooting opportunities I&rsquo;ve ever had.  </p>",Canon EOS 1DX; EF 100-400 f/4.5-5.6L IS USM lens; B+W Haze filter; 1/640 sec at f/6.3; ISO 500; hand-held. ,Winner,bottom,39.5352,-105.65,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/7_VerdonTomajko_AmWinner_MountainGoats_CO.jpg
